country,to_review,suggested_standard,n1,n2,dist,standard
Belgium,Habay La Neuve,Habay,56,5,0.214285714,
Belgium,Houthalen,Houtem,24,6,0.203703704,
Belgium,Ixelles,Bruxelles,36,21,0.158730159,
Belgium,Kallo,Kapellen,24,45,0.233333333,
Belgium,Kieldrecht,Zwijndrecht,24,30,0.221212121,
Belgium,Kwaadmechelen,Mechelen,21,36,0.195512821,
Belgium,Lanaken,Landen,30,36,0.150793651,
Belgium,Liège,Liege,59,4,0.133333333,
Belgium,Mechelen,Menen,36,57,0.233333333,
Belgium,Oosteeklo,Oostrozebeke,24,57,0.210648148,
Belgium,Roeselaere,Destelbergen,57,4,0.238888889,
Belgium,Ruisbroek,Rumbeke,9,24,0.243386243,
Belgium,Sint Lambrechts Woluwe,Sint Stevens Woluwe,3,24,0.198458267,
Belgium,Wielsbeke,Wachtebeke,42,30,0.244444444,
Bhutan,Thiumphu,Thimphu,42,1,0.136904762,
Bosnia & Herzegovina,Ilijas,Ilidza,28,12,0.222222222,
Bosnia & Herzegovina,Sarajevo Canton,Sarajevo,34,12,0.155555556,
Bosnia & Herzegovina,Zenica-Doboj Canton,Zenica,31,12,0.228070175,
Brazil,Aracatuba,Araucaria,47,48,0.21957672,
Brazil,Araucaria,Araraquara,63,48,0.221693122,
Brazil,Araucária,Araucaria,48,2,0.136574074,
Brazil,Araçatuba,Araraquara,2,63,0.244444444,
Brazil,Brasilia,Marilia,7,61,0.186507937,
Brazil,Campinas-Centro,Campinas,61,2,0.155555556,
Brazil,Campos,Campinas,61,7,0.180555556,
Brazil,Candeias,Canoas,35,49,0.180555556,
Brazil,Canoas,Campinas,61,49,0.180555556,
Brazil,Cantagalo,Cubatao,41,49,0.243386243,
Brazil,Cantagalo Euclidelandia,Cantagalo,41,3,0.202898551,
Brazil,Carapicuiba,Piracicaba,40,68,0.240909091,
Brazil,Carapicuíba,Cariacica,2,40,0.242905243,
Brazil,Cariacica,Carapicuiba,40,40,0.169612795,
Brazil,Dias D Avila,Dias D'ivila,18,20,0.144444444,
Brazil,Dias D'ivila,Dias D'avila,24,20,0.101010101,
Brazil,Ibrité,Ibirité,2,1,0.103174603,
Brazil,Itaguai,Itaborai,57,54,0.220238095,
Brazil,Jaboticabal,Jai,28,61,0.242424242,
Brazil,Jacareí,Macae,2,28,0.20952381,
Brazil,Japeri,Jacarei,35,33,0.217460317,
Brazil,Jau,Jai,61,9,0.222222222,
Brazil,Macae,Jacarei,35,28,0.20952381,
Brazil,Marília,Marilia,61,2,0.150793651,
Brazil,Mauá,Maua,61,2,0.166666667,
Brazil,Paulínia,Paulinia,61,2,0.130952381,
Brazil,"Regiao Estado Sao Paulo, Cubatao)",Regiao Estado Sao Paulo,10,1,0.101010101,
Brazil,Regiao Metropolitana De Sao Paulo,Regiao Metropolitana Do Rio De Janeiro,3,6,0.167986254,
Brazil,Regiao Metropolitana De São Paulo,Regiao Metropolitana Do Rio De Janeiro,3,6,0.156081492,
Brazil,Região Metropolitana Curitiba,Região Metropolitana Sao Paulo,1,2,0.161236049,
Brazil,Região Metropolitana Rio Janeiro,Região Metropolitana Curitiba,1,1,0.138893678,
Brazil,Região Metropolitana Sao Paulo,Regiao Metropolitana De São Paulo,3,2,0.16645768,
Brazil,Rio Claro,Rio De Janeiro,37,59,0.240740741,
Brazil,Santo Andre,Santos,49,52,0.237373737,
Brazil,Santo André,Santos,2,52,0.237373737,
Brazil,Sao Joao De Meriti,Sao Jose Do Rio Preto,24,67,0.195238095,
Brazil,Sao Jose Dos Campos,Sao Jose Do Rio Preto,67,7,0.232247285,
Brazil,São Bernardo Do Campo,Sao Bernardo Do Campo,42,2,0.165079365,
Brazil,São Caetano Do Sul,Sao Caetano Do Sul,66,2,0.105664488,
Brazil,São José Dos Campos,São José Do Rio Preto,2,2,0.232247285,
Brazil,Taboão Da Serra,Taboao Da Serra,61,2,0.151587302,
Brazil,Tatuí,Tatui,54,2,0.133333333,
Brunei,Tutong District,Temburong District,2,2,0.203439153,
Bulgaria,Devnia,Devnya,4,58,0.111111111,
Bulgaria,Gorna Oriahovica,Gorna Oryahovitsa,4,58,0.160014006,
Bulgaria,Gulubovo,Galabovo,34,30,0.166666667,
Bulgaria,Kardjaly,Kardzhali,7,55,0.194444444,
Bulgaria,Nessebur,Nesebar,36,20,0.130952381,
Bulgaria,Pazarjik,Pazardzhik,45,1,0.141666667,
Bulgaria,Smolian,Sofia,7,67,0.20952381,
Bulgaria,Sofiyska Oblast,Sofia,67,4,0.222222222,
Bulgaria,Vratza,Vratsa,57,7,0.111111111,
Bulgaria,Yana,Varna,63,28,0.216666667,
Cambodia,Kampong Chhnang,Kampong Cham Province,6,6,0.237301587,
Cambodia,Kampong Thom,Kampong Chhnang,6,6,0.216666667,
Canada,Brampton,Brandon,42,45,0.220238095,
Canada,Brantford,Brandon,45,44,0.243386243,
Canada,Breton,Brampton,42,27,0.180555556,
Canada,Burlington,Kingston,42,44,0.216666667,
Canada,Campbell River,Powell River,26,45,0.202380952,
Canada,Castlegar,Calgary,44,42,0.158730159,
Canada,Charlottetown,Charette,42,34,0.243131868,
Canada,Conklin,Caroline,42,21,0.220238095,
Canada,Courtenay,Burnaby,43,40,0.243386243,
Canada,Cranbrook,Sherbrooke,3,44,0.244444444,
Canada,Creston,Breton,27,4,0.150793651,
Canada,Debolt,Delta,36,40,0.177777778,
Canada,Edmundston,Edmonton,44,15,0.141666667,
Canada,Edson,Edmonton,44,36,0.233333333,
Canada,Fort Mackay,Fort Mcmurray,15,44,0.2002072,
Canada,Fort Mckay,Fort Mcmurray,27,44,0.135897436,
Canada,Fort Smith,Fort Saskatchewan,42,35,0.243137255,
Canada,Fort St John,Fort Smith,35,30,0.177777778,
Canada,Fort St. John,Fort Smith,35,5,0.194871795,
Canada,Hinton,Hamilton,44,37,0.180555556,
Canada,L Assomption,L'assomption,6,9,0.111111111,
Canada,La Dore,La Patrie,40,42,0.243386243,
Canada,La Pêche,La Peche,37,2,0.154761905,
Canada,Labrador City,Labrador,15,12,0.128205128,
Canada,Lac-Édouard,Lac Edouard,18,2,0.121212121,
Canada,Langdale,Langley,41,43,0.130952381,
Canada,Metro Vancouver,North Vancouver,2,40,0.114529915,
Canada,Milton,Hamilton,44,3,0.180555556,
Canada,Moncton,Edmonton,44,44,0.220238095,
Canada,Montreal,Mount Pearl,40,42,0.162878788,
Canada,Montréal,Mount Pearl,4,42,0.234848485,
Canada,Ottawa,Oshawa,44,44,0.222222222,
Canada,Port Alice,Port Alberni,41,2,0.153703704,
Canada,Prince Albert,Prince George,31,38,0.205128205,
Canada,Québec,Quebec,40,4,0.177777778,
Canada,Saint Anicet,Saint Andrews,27,15,0.185897436,
Canada,Saint Simon,Saint John,44,18,0.157575758,
Canada,Saint Zephirin De Courval,St Zepherin De Courval,6,12,0.163722944,
Canada,Saint-Anicet,Saint Andrews,27,14,0.239316239,
Canada,Saint-Simon,Saint John,44,18,0.221212121,
Canada,Saint-Zephirin-De-Courval,St-Zepherin-De-Courval,7,9,0.163722944,
Canada,St Andrews,Saint Andrews,27,6,0.143589744,
Canada,St. Albert,Port Alberni,41,9,0.238888889,
Canada,St. Andrews,Saint Andrews,27,9,0.173892774,
Canada,St. Zéphirin-De-Courval,St Zepherin De Courval,12,2,0.188625384,
Canada,Steeper,Senneterre,44,34,0.236507937,
Canada,Trois-Rivières,Trois Rivieres,18,4,0.123015873,
Canada,Valemount,Lamont,42,15,0.203703704,
Canada,Varennes,Vernon,13,38,0.247222222,
Canada,Wellington,Burlington,42,27,0.2,
Canada,West Vancouver,North Vancouver,40,13,0.16031746,
Canada,Whitehorse,Whistler,38,36,0.216666667,
Chile,Calama,Salamanca,10,34,0.203703704,
Chile,Concon,Concepcion,25,3,0.133333333,
Chile,Concón,Concon,3,2,0.111111111,
Chile,La Calera,La Florida,3,56,0.244444444,
Chile,La Cruz,La Calera,3,2,0.243386243,
Chile,La Serena,La Calera,3,3,0.222222222,
Chile,Los Andes,Los Angeles,2,38,0.127946128,
Chile,Quilpue,Quilicura,48,24,0.243386243,
Chile,Talcahuano,Talca,34,23,0.166666667,
Chile,Valpara<U+00ed>So,Valparaiso,3,33,0.243137255,
China,Acheng Qu,Yicheng Qu,12,24,0.103703704,
China,Aimin Qu,Aihui Qu,24,12,0.166666667,
China,Aksu,Akesu Shi,24,15,0.185185185,
China,Aksu City,Aksu,15,6,0.185185185,
