Region;Country;City/station;concentrationPM10;YearPM10;AnnualmeanPM25;Yearpm25;nbLocations;Temporal coverage;Reference;Latitude;Longitude;convertedPM10;convertedPM25;yearMerged;version
AmrHI;United States of America;Russellville, AR;14;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Rutland, VT;15;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Sacramento--Arden-Arcade--Roseville, CA;15;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Salinas, CA;10;;6;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Salisbury, NC;16;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Salt Lake City, UT;15;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;San Antonio, TX;14;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;San Diego-Carlsbad-San Marcos, CA;24;;14;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;San Francisco-Oakland-Fremont, CA;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;San Jose-Sunnyvale-Santa Clara, CA;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;San Luis Obispo-Paso Robles, CA;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Santa Barbara-Santa Maria-Goleta, CA;14;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Santa Cruz-Watsonville, CA;10;;6;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Santa Fe, NM;8;;5;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Santa Rosa-Petaluma, CA;14;;8;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Sault Ste. Marie, MI;14;;8;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Savannah, GA;17;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Scottsbluff, NE;9;;6;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Scranton--Wilkes-Barre, PA;14;;8;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
