country,to_review,suggested_standard,n1,n2,dist
Belgium,Brussel,Bruxelles,21,36,0.24338624338624348
Belgium,Brussels,Bruxelles,32,36,0.19444444444444453
Belgium,Elsegem,Eppegem,3,24,0.19047619047619047
Belgium,Eppegem,Evergem,24,59,0.19047619047619047
Belgium,Genk,Gent,28,62,0.16666666666666674
Belgium,Habay La Neuve,Habay,56,5,0.2142857142857143
Belgium,Houthalen,Houtem,24,6,0.20370370370370372
Belgium,Ixelles,Bruxelles,36,21,0.15873015873015883
Belgium,Kallo,Kapellen,24,45,0.2333333333333334
Belgium,Kieldrecht,Zwijndrecht,24,30,0.2212121212121212
Belgium,Kwaadmechelen,Mechelen,21,36,0.1955128205128206
Belgium,Lanaken,Landen,30,36,0.15079365079365092
Belgium,Liège,Liege,59,4,0.1333333333333333
Belgium,Mechelen,Menen,36,57,0.2333333333333334
Belgium,Oosteeklo,Oostrozebeke,24,57,0.21064814814814825
Belgium,Roeselaere,Destelbergen,57,4,0.23888888888888893
Belgium,Ruisbroek,Rumbeke,9,24,0.24338624338624348
Belgium,Sint Lambrechts Woluwe,Sint Stevens Woluwe,3,24,0.19845826687931944
Belgium,Wielsbeke,Wachtebeke,42,30,0.24444444444444446
Bhutan,Thiumphu,Thimphu,42,1,0.13690476190476186
Bosnia & Herzegovina,Ilijas,Ilidza,28,12,0.22222222222222232
Bosnia & Herzegovina,Sarajevo Canton,Sarajevo,34,12,0.15555555555555567
Bosnia & Herzegovina,Zenica-Doboj Canton,Zenica,31,12,0.22807017543859653
Brazil,Aracatuba,Araucaria,47,48,0.21957671957671954
Brazil,Araucaria,Araraquara,63,48,0.22169312169312172
Brazil,Araucária,Araucaria,48,2,0.13657407407407418
Brazil,Araçatuba,Araraquara,2,63,0.24444444444444446
Brazil,Brasilia,Marilia,7,61,0.1865079365079365
Brazil,Campinas-Centro,Campinas,61,2,0.15555555555555567
Brazil,Campos,Campinas,61,7,0.18055555555555558
Brazil,Candeias,Canoas,35,49,0.18055555555555558
Brazil,Canoas,Campinas,61,49,0.18055555555555558
Brazil,Cantagalo,Cubatao,41,49,0.24338624338624348
Brazil,Cantagalo Euclidelandia,Cantagalo,41,3,0.2028985507246377
Brazil,Carapicuiba,Piracicaba,40,68,0.24090909090909096
Brazil,Carapicuíba,Cariacica,2,40,0.24290524290524296
Brazil,Cariacica,Carapicuiba,40,40,0.16961279461279477
Brazil,Dias D Avila,Dias D'ivila,18,20,0.14444444444444438
Brazil,Dias D'ivila,Dias D'avila,24,20,0.1010101010101011
Brazil,Ibrité,Ibirité,2,1,0.10317460317460314
Brazil,Itaguai,Itaborai,57,54,0.22023809523809523
Brazil,Jaboticabal,Jai,28,61,0.24242424242424254
Brazil,Jacareí,Macae,2,28,0.20952380952380956
Brazil,Japeri,Jacarei,35,33,0.21746031746031746
