"ID","start_year","end_year","longitude","latitude","pollutant"
125,2013,2021,-0.3716,43.31095,"PM10"
126,2010,2010,-0.376111,49.1854426,"PM10"
127,2020,2020,-0.379916,50.832947,"PM25"
128,2017,2019,-0.3799,50.8329,"PM25"
129,2014,2014,-0.38724,39.46609,"PM10"
130,2010,2010,-0.391111,43.310833,"PM10"
131,2015,2018,-0.394866667,39.48281111,"PM10"
132,2010,2010,-0.396042,46.143172,"PM10"
133,2013,2021,-0.396,46.1432,"PM10"
134,2019,2021,-0.401163636,39.47444545,"PM10"
135,2016,2017,-0.40363,39.47706,"PM10"
136,2010,2010,-0.403889,42.136111,"PM10"
137,2013,2013,-0.403893333,42.13610667,"PM10"
138,2012,2012,-0.40389,42.13611,"PM10"
139,2014,2021,-0.4039,42.1361,"PM10"
140,2012,2013,-0.41777777,39.50944444,"PM10"
141,2010,2010,-0.417778,39.509444,"PM10"
142,2013,2021,-0.4414,38.9347,"PM10"
143,2013,2013,-0.441614,51.48879,"PM10"
144,2013,2021,-0.444,47.7877,"PM10"
145,2013,2013,-0.44722222,39.48111111,"PM10"
146,2010,2010,-0.447222,39.481111,"NO2"
147,2013,2013,-0.449532,50.91692133,"PM10"
148,2010,2020,-0.449548,50.916932,"PM10"
149,2014,2019,-0.4495,50.9169,"PM10"
150,2012,2012,-0.45777777,39.15,"PM10"
151,2010,2010,-0.457778,39.15,"PM10"
152,2013,2013,-0.457788885,39.15,"NO2"
153,2014,2021,-0.4578,39.15,"PM10"
154,2013,2021,-0.4583,48.645,"PM10"
155,2012,2013,-0.46083333,39.55138888,"PM10"
156,2010,2010,-0.460833,39.551389,"NO2"
157,2013,2020,-0.460861,51.49633,"NO2"
158,2010,2010,-0.46125,46.326973,"PM10"
159,2020,2020,-0.46211,51.892293,"NO2"
160,2015,2019,-0.4621,51.8923,"NO2"
161,2013,2019,-0.46265,46.3258,"PM10"
162,2013,2013,-0.46694444,38.70638888,"PM10"
163,2010,2010,-0.466944,38.706389,"PM10"
164,2013,2021,-0.4669,38.7064,"PM10"
165,2013,2021,-0.4683,40.0542,"PM10"
166,2020,2020,-0.4694,46.32386667,"PM10"
167,2021,2021,-0.47465,46.321,"PM10"
168,2012,2012,-0.48930555,38.3498611,"PM10"
169,2013,2021,-0.4914,43.8961,"PM10"
170,2013,2021,-0.4975,38.35026667,"PM10"
171,2010,2010,-0.4975,38.35027767,"PM10"
172,2013,2013,-0.499841263,38.35039682,"PM10"
173,2011,2011,-0.50666666,38.34027777,"PM25"
174,2010,2010,-0.514722,44.900278,"PM10"
175,2013,2013,-0.517396309,39.4951256,"PM10"
176,2010,2010,-0.528333,45.012222,"NO2"
177,2013,2021,-0.5283,45.0122,"NO2"
178,2020,2020,-0.534189,53.221373,"NO2"
179,2013,2013,-0.5341945,53.2213865,"NO2"
180,2014,2019,-0.5342,53.2214,"NO2"
181,2010,2010,-0.536944,43.376111,"PM10"
182,2014,2021,-0.5382,43.3763,"PM10"
183,2013,2013,-0.55255,43.368,"PM10"
184,2013,2021,-0.5531,47.45795,"PM10"
185,2010,2010,-0.5545565,47.4632335,"PM10"
186,2010,2010,-0.566944,43.359722,"NO2"
187,2010,2010,-0.5724442,44.8510556,"PM10"
188,2010,2010,-0.588056,44.800556,"PM10"
189,2013,2017,-0.58822,44.8389,"PM10"
190,2018,2018,-0.589933333,44.83805,"PM10"
191,2019,2021,-0.59198,44.83738,"PM10"
192,2013,2013,-0.603324998,39.93056666,"PM10"
193,2010,2010,-0.603333,39.930556,"PM10"
194,2014,2021,-0.6033,39.9306,"PM10"
195,2010,2010,-0.609444,43.376944,"NO2"
196,2013,2021,-0.6094,43.3769,"NO2"
197,2013,2021,-0.6169,43.4106,"NO2"
198,2012,2012,-0.62194407,39.33703777,"PM10"
199,2013,2021,-0.6256,39.5647,"PM10"
200,2013,2013,-0.636807333,53.58632667,"PM10"
201,2010,2010,-0.636811,53.58634,"PM10"
202,2014,2019,-0.6368,53.5863,"PM10"
203,2015,2021,-0.638,38.4361,"PM10"
204,2010,2010,-0.65,44.841389,"PM10"
205,2013,2021,-0.6972,38.7881,"PM10"
206,2013,2021,-0.69,37.9911,"PM10"
